,CA,FT,CrT,CoT,GCT,BT,FPC
6/1/2050 3:00,0,0,0,0,0,0,0
6/1/2050 4:00,0,0,0,0,0,0,0
6/1/2050 5:00,0,0,0,0,0,0,0
6/1/2050 6:00,0,0,0,0,0,0,0
6/1/2050 7:00,0,0,0,0,0,0,0
6/1/2050 8:00,0,0,0,0,0,0,0
6/1/2050 9:00,0,0,0,0,0,0,0
6/1/2050 10:00,0,0,0,0,0,0,0
6/1/2050 11:00,0,0,0,0,0,0,0
6/1/2050 12:00,0,0,0,0,0,0,0
6/1/2050 13:00,0,0,0,0,0,0,0
6/1/2050 14:00,0,0,0,0,0,0,0
6/1/2050 15:00,0,0,0,0,0,0,0
6/1/2050 16:00,0,0,0,0,0,0,0
6/1/2050 17:00,0,0,0,0,0,0,0
6/1/2050 18:00,0,0,0,0,0,0,0
6/1/2050 19:00,0,0,0,0,0,0,0
6/1/2050 20:00,0,0,0,0,0,0,0
6/1/2050 21:00,0,0,0,0,0,0,0
6/1/2050 22:00,0,0,0,0,0,0,0
6/1/2050 23:00,0,-261935,-645484,-1111700085,-174568760,-1135776847,0
7/1/2050 0:00,0,0,0,0,0,0,0
7/1/2050 1:00,0,0,0,0,0,0,0
7/1/2050 2:00,0,0,0,0,0,0,0
7/1/2050 3:00,0,0,0,0,0,0,0
7/1/2050 4:00,0,0,0,0,0,0,0
7/1/2050 5:00,0,0,0,0,0,0,0
7/1/2050 6:00,0,0,0,0,0,0,0
7/1/2050 7:00,0,0,0,0,0,0,0
7/1/2050 8:00,0,0,0,0,0,0,0
7/1/2050 9:00,0,0,0,0,0,0,0
7/1/2050 10:00,0,0,0,0,0,0,0
7/1/2050 11:00,0,0,0,0,0,0,0
7/1/2050 12:00,0,0,0,0,0,0,0
7/1/2050 13:00,0,0,0,0,0,0,0
7/1/2050 14:00,0,0,0,0,0,0,0
7/1/2050 15:00,0,0,0,0,0,0,0
7/1/2050 16:00,0,0,0,0,0,0,0
7/1/2050 17:00,0,0,0,0,0,0,0
7/1/2050 18:00,0,0,0,0,0,0,0
7/1/2050 19:00,0,0,0,0,0,0,0
7/1/2050 20:00,0,0,0,0,0,0,0
7/1/2050 21:00,0,0,0,0,0,0,0
7/1/2050 22:00,0,0,0,0,0,0,0
7/1/2050 23:00,0,-261935,-645484,-1111700085,-174568760,-1135776847,0
8/1/2050 0:00,0,0,0,0,0,0,0
8/1/2050 1:00,0,0,0,0,0,0,0
8/1/2050 2:00,0,0,0,0,0,0,0
8/1/2050 3:00,0,0,0,0,0,0,0
8/1/2050 4:00,0,0,0,0,0,0,0
8/1/2050 5:00,0,0,0,0,0,0,0
8/1/2050 6:00,0,0,0,0,0,0,0
8/1/2050 7:00,0,0,0,0,0,0,0
8/1/2050 8:00,0,0,0,0,0,0,0
8/1/2050 9:00,0,0,0,0,0,0,0
8/1/2050 10:00,0,0,0,0,0,0,0
